Start count = 1 ; Start_time =20-Mar-2015 15:18:15  End count = 5 End_time = 20-Mar-2015 15:21:03 Time elapsed = 00:02:47
Start count = 5 ; Start_time =20-Mar-2015 15:21:35  End count = 4 End_time = 20-Mar-2015 15:22:36 Time elapsed = 00:01:01
Start count = 5 ; Start_time =20-Mar-2015 15:26:34  End count = 4 End_time = 20-Mar-2015 15:26:36 Time elapsed = 00:00:02
Start count = 5 ; Start_time =20-Mar-2015 15:34:43  End count = 4 End_time = 20-Mar-2015 15:34:46 Time elapsed = 00:00:02
Start count = 5 ; Start_time =20-Mar-2015 15:36:08  End count = 4 End_time = 20-Mar-2015 15:36:10 Time elapsed = 00:00:02
Start count = 5 ; Start_time =20-Mar-2015 15:37:35  End count = 4 End_time = 20-Mar-2015 15:37:37 Time elapsed = 00:00:01
Start count = 5 ; Start_time =20-Mar-2015 15:37:53  End count = 4 End_time = 20-Mar-2015 15:37:55 Time elapsed = 00:00:02
Start count = 5 ; Start_time =20-Mar-2015 15:39:13  End count = 4 End_time = 20-Mar-2015 15:39:15 Time elapsed = 00:00:02
Start count = 5 ; Start_time =20-Mar-2015 15:42:42  End count = 4 End_time = 20-Mar-2015 15:42:44 Time elapsed = 00:00:02
Start count = 5 ; Start_time =20-Mar-2015 15:43:13  End count = 4 End_time = 20-Mar-2015 15:43:15 Time elapsed = 00:00:01
Start count = 5 ; Start_time =20-Mar-2015 15:43:26  End count = 4 End_time = 20-Mar-2015 15:43:28 Time elapsed = 00:00:01
Start count = 5 ; Start_time =20-Mar-2015 15:44:33  End count = 4 End_time = 20-Mar-2015 15:44:34 Time elapsed = 00:00:01
Start count = 5 ; Start_time =20-Mar-2015 15:45:24  End count = 4 End_time = 20-Mar-2015 15:45:26 Time elapsed = 00:00:01
Start count = 5 ; Start_time =20-Mar-2015 15:45:46  End count = 4 End_time = 20-Mar-2015 15:45:47 Time elapsed = 00:00:01
Start count = 5 ; Start_time =20-Mar-2015 15:46:18  End count = 4 End_time = 20-Mar-2015 15:46:20 Time elapsed = 00:00:01
Start count = 5 ; Start_time =20-Mar-2015 15:46:58  End count = 4 End_time = 20-Mar-2015 15:47:00 Time elapsed = 00:00:01
Start count = 5 ; Start_time =20-Mar-2015 15:47:09  End count = 4 End_time = 20-Mar-2015 15:47:10 Time elapsed = 00:00:01
Start count = 5 ; Start_time =20-Mar-2015 15:47:22  End count = 4 End_time = 20-Mar-2015 15:47:24 Time elapsed = 00:00:01
Start count = 5 ; Start_time =20-Mar-2015 15:47:53  End count = 4 End_time = 20-Mar-2015 15:47:55 Time elapsed = 00:00:01
Start count = 5 ; Start_time =20-Mar-2015 15:48:18  End count = 4 End_time = 20-Mar-2015 15:48:20 Time elapsed = 00:00:01
Start count = 5 ; Start_time =20-Mar-2015 15:48:41  End count = 4 End_time = 20-Mar-2015 15:48:43 Time elapsed = 00:00:01
Start count = 5 ; Start_time =20-Mar-2015 15:48:55  End count = 4 End_time = 20-Mar-2015 15:48:57 Time elapsed = 00:00:01
Start count = 5 ; Start_time =20-Mar-2015 15:49:08  End count = 4 End_time = 20-Mar-2015 15:49:09 Time elapsed = 00:00:01
Start count = 5 ; Start_time =20-Mar-2015 15:49:45  End count = 4 End_time = 20-Mar-2015 15:49:46 Time elapsed = 00:00:01
Start count = 5 ; Start_time =20-Mar-2015 15:49:59  End count = 4 End_time = 20-Mar-2015 15:50:00 Time elapsed = 00:00:01
Start count = 5 ; Start_time =20-Mar-2015 15:50:20  End count = 4 End_time = 20-Mar-2015 15:50:21 Time elapsed = 00:00:01
Start count = 5 ; Start_time =20-Mar-2015 15:50:42  End count = 4 End_time = 20-Mar-2015 15:50:43 Time elapsed = 00:00:01
Start count = 5 ; Start_time =20-Mar-2015 15:50:56  End count = 4 End_time = 20-Mar-2015 15:50:57 Time elapsed = 00:00:01
Start count = 5 ; Start_time =20-Mar-2015 15:51:10  End count = 4 End_time = 20-Mar-2015 15:51:12 Time elapsed = 00:00:01
Start count = 5 ; Start_time =20-Mar-2015 15:51:56  End count = 4 End_time = 20-Mar-2015 15:51:57 Time elapsed = 00:00:01
Start count = 5 ; Start_time =20-Mar-2015 15:52:15  End count = 4 End_time = 20-Mar-2015 15:52:16 Time elapsed = 00:00:01
Start count = 5 ; Start_time =20-Mar-2015 15:52:27  End count = 4 End_time = 20-Mar-2015 15:52:29 Time elapsed = 00:00:01
Start count = 5 ; Start_time =20-Mar-2015 15:52:55  End count = 4 End_time = 20-Mar-2015 15:52:57 Time elapsed = 00:00:01
Start count = 5 ; Start_time =20-Mar-2015 15:55:44  End count = 4 End_time = 20-Mar-2015 15:55:45 Time elapsed = 00:00:01
Start count = 5 ; Start_time =20-Mar-2015 15:59:43  End count = 4 End_time = 20-Mar-2015 15:59:44 Time elapsed = 00:00:01
Start count = 5 ; Start_time =20-Mar-2015 16:03:09  End count = 4 End_time = 20-Mar-2015 16:03:11 Time elapsed = 00:00:01
Start count = 5 ; Start_time =20-Mar-2015 16:04:54  End count = 4 End_time = 20-Mar-2015 16:04:56 Time elapsed = 00:00:01
Start count = 5 ; Start_time =20-Mar-2015 16:07:29  End count = 4 End_time = 20-Mar-2015 16:07:31 Time elapsed = 00:00:01
